"Kod";"Nazwa";"Rodzaje obiektow";"Rok";"Wartosc";"Jednostka miary";"Atrybut"
0000000;"POLSKA";"hotele";"2008";37.01;"%";""
0000000;"POLSKA";"hotele";"2009";33.56;"%";""
0000000;"POLSKA";"hotele";"2010";33.78;"%";""
0000000;"POLSKA";"hotele";"2011";35.0;"%";""
0000000;"POLSKA";"hotele";"2012";35.2;"%";""
0000000;"POLSKA";"hotele";"2013";36.1;"%";""
0000000;"POLSKA";"hotele";"2014";37.0;"%";""
0000000;"POLSKA";"hotele";"2015";39.0;"%";""
0000000;"POLSKA";"hotele";"2016";41.1;"%";""
0000000;"POLSKA";"hotele";"2017";42.2;"%";""
0000000;"POLSKA";"hotele";"2018";43.2;"%";""
0000000;"POLSKA";"hotele";"2019";44.1;"%";""
0000000;"POLSKA";"hotele";"2020";26.0;"%";""
0000000;"POLSKA";"hotele";"2021";31.6;"%";""
0000000;"POLSKA";"hotele";"2022";43.2;"%";""
0000000;"POLSKA";"motele";"2002";26.30;"%";""
0000000;"POLSKA";"motele";"2003";25.20;"%";""
0000000;"POLSKA";"motele";"2004";25.30;"%";""
0000000;"POLSKA";"motele";"2005";26.26;"%";""
0000000;"POLSKA";"motele";"2006";27.41;"%";""
0000000;"POLSKA";"motele";"2007";28.97;"%";""
0000000;"POLSKA";"motele";"2008";29.87;"%";""
0000000;"POLSKA";"motele";"2009";29.32;"%";""
0000000;"POLSKA";"motele";"2010";27.92;"%";""
0000000;"POLSKA";"motele";"2011";27.4;"%";""
0000000;"POLSKA";"motele";"2012";25.7;"%";""
0000000;"POLSKA";"motele";"2013";23.9;"%";""
0000000;"POLSKA";"motele";"2014";22.7;"%";""
0000000;"POLSKA";"motele";"2015";22.5;"%";""
0000000;"POLSKA";"motele";"2016";23.9;"%";""
0000000;"POLSKA";"motele";"2017";24.0;"%";""
0000000;"POLSKA";"motele";"2018";25.5;"%";""
0000000;"POLSKA";"motele";"2019";25.4;"%";""
0000000;"POLSKA";"motele";"2020";16.1;"%";""
0000000;"POLSKA";"motele";"2021";19.6;"%";""
0000000;"POLSKA";"motele";"2022";27.4;"%";""
0000000;"POLSKA";"pensjonaty";"2002";32.50;"%";""
0000000;"POLSKA";"pensjonaty";"2003";32.20;"%";""
0000000;"POLSKA";"pensjonaty";"2004";29.62;"%";""
0000000;"POLSKA";"pensjonaty";"2005";30.10;"%";""
0000000;"POLSKA";"pensjonaty";"2006";29.52;"%";""
0000000;"POLSKA";"pensjonaty";"2007";30.15;"%";""
0000000;"POLSKA";"pensjonaty";"2008";29.91;"%";""
0000000;"POLSKA";"pensjonaty";"2009";27.96;"%";""
0000000;"POLSKA";"pensjonaty";"2010";25.54;"%";""
0000000;"POLSKA";"pensjonaty";"2011";26.0;"%";""
0000000;"POLSKA";"pensjonaty";"2012";27.2;"%";""
0000000;"POLSKA";"pensjonaty";"2013";26.0;"%";""
0000000;"POLSKA";"pensjonaty";"2014";26.1;"%";""
0000000;"POLSKA";"pensjonaty";"2015";27.4;"%";""
0000000;"POLSKA";"pensjonaty";"2016";28.8;"%";""
0000000;"POLSKA";"pensjonaty";"2017";30.5;"%";""
0000000;"POLSKA";"pensjonaty";"2018";31.0;"%";""
0000000;"POLSKA";"pensjonaty";"2019";30.9;"%";""
0000000;"POLSKA";"pensjonaty";"2020";22.3;"%";""
0000000;"POLSKA";"pensjonaty";"2021";25.2;"%";""
0000000;"POLSKA";"pensjonaty";"2022";28.9;"%";""
0000000;"POLSKA";"inne obiekty hotelowe";"2002";;"%";""
0000000;"POLSKA";"inne obiekty hotelowe";"2003";;"%";""
0000000;"POLSKA";"inne obiekty hotelowe";"2004";26.79;"%";""
0000000;"POLSKA";"inne obiekty hotelowe";"2005";27.19;"%";""
0000000;"POLSKA";"inne obiekty hotelowe";"2006";27.99;"%";""
0000000;"POLSKA";"inne obiekty hotelowe";"2007";30.07;"%";""
0000000;"POLSKA";"inne obiekty hotelowe";"2008";30.38;"%";""
0000000;"POLSKA";"inne obiekty hotelowe";"2009";27.46;"%";""
0000000;"POLSKA";"inne obiekty hotelowe";"2010";26.75;"%";""
0000000;"POLSKA";"inne obiekty hotelowe";"2011";27.2;"%";""
0000000;"POLSKA";"inne obiekty hotelowe";"2012";26.5;"%";""
0000000;"POLSKA";"inne obiekty hotelowe";"2013";25.7;"%";""
0000000;"POLSKA";"inne obiekty hotelowe";"2014";26.5;"%";""
0000000;"POLSKA";"inne obiekty hotelowe";"2015";28.1;"%";""
0000000;"POLSKA";"inne obiekty hotelowe";"2016";29.8;"%";""
0000000;"POLSKA";"inne obiekty hotelowe";"2017";31.5;"%";""
0000000;"POLSKA";"inne obiekty hotelowe";"2018";32.7;"%";""
0000000;"POLSKA";"inne obiekty hotelowe";"2019";33.5;"%";""
0000000;"POLSKA";"inne obiekty hotelowe";"2020";24.6;"%";""
0000000;"POLSKA";"inne obiekty hotelowe";"2021";27.6;"%";""
0000000;"POLSKA";"inne obiekty hotelowe";"2022";34.6;"%";""
0000000;"POLSKA";"pozostałe obiekty razem";"2002";34.50;"%";""
0000000;"POLSKA";"pozostałe obiekty razem";"2003";35.00;"%";""
0000000;"POLSKA";"pozostałe obiekty razem";"2004";34.97;"%";""
0000000;"POLSKA";"pozostałe obiekty razem";"2005";35.48;"%";""
0000000;"POLSKA";"pozostałe obiekty razem";"2006";37.33;"%";""
0000000;"POLSKA";"pozostałe obiekty razem";"2007";38.65;"%";""
0000000;"POLSKA";"pozostałe obiekty razem";"2008";39.64;"%";""
0000000;"POLSKA";"pozostałe obiekty razem";"2009";39.27;"%";""
0000000;"POLSKA";"pozostałe obiekty razem";"2010";36.88;"%";""
0000000;"POLSKA";"pozostałe obiekty razem";"2011";36.3;"%";""
0000000;"POLSKA";"pozostałe obiekty razem";"2012";34.2;"%";""
0000000;"POLSKA";"pozostałe obiekty razem";"2013";34.0;"%";""
0000000;"POLSKA";"pozostałe obiekty razem";"2014";35.0;"%";""
0000000;"POLSKA";"pozostałe obiekty razem";"2015";36.7;"%";""
0000000;"POLSKA";"pozostałe obiekty razem";"2016";37.5;"%";""
0000000;"POLSKA";"pozostałe obiekty razem";"2017";38.5;"%";""
0000000;"POLSKA";"pozostałe obiekty razem";"2018";39.2;"%";""
0000000;"POLSKA";"pozostałe obiekty razem";"2019";39.1;"%";""
0000000;"POLSKA";"pozostałe obiekty razem";"2020";28.7;"%";""
0000000;"POLSKA";"pozostałe obiekty razem";"2021";34.6;"%";""
0000000;"POLSKA";"pozostałe obiekty razem";"2022";39.1;"%";""
0000000;"POLSKA";"domy wycieczkowe";"2002";25.50;"%";""
0000000;"POLSKA";"domy wycieczkowe";"2003";28.80;"%";""
0000000;"POLSKA";"domy wycieczkowe";"2004";31.53;"%";""
0000000;"POLSKA";"domy wycieczkowe";"2005";32.63;"%";""
0000000;"POLSKA";"domy wycieczkowe";"2006";32.27;"%";""
0000000;"POLSKA";"domy wycieczkowe";"2007";35.31;"%";""
0000000;"POLSKA";"domy wycieczkowe";"2008";35.91;"%";""
0000000;"POLSKA";"domy wycieczkowe";"2009";33.62;"%";""
0000000;"POLSKA";"domy wycieczkowe";"2010";30.49;"%";""
0000000;"POLSKA";"domy wycieczkowe";"2011";31.1;"%";""
0000000;"POLSKA";"domy wycieczkowe";"2012";29.8;"%";""
0000000;"POLSKA";"domy wycieczkowe";"2013";26.8;"%";""
0000000;"POLSKA";"domy wycieczkowe";"2014";23.4;"%";""
0000000;"POLSKA";"domy wycieczkowe";"2015";25.1;"%";""
0000000;"POLSKA";"domy wycieczkowe";"2016";25.2;"%";""
0000000;"POLSKA";"domy wycieczkowe";"2017";27.6;"%";""
0000000;"POLSKA";"domy wycieczkowe";"2018";30.5;"%";""
0000000;"POLSKA";"domy wycieczkowe";"2019";29.1;"%";""
0000000;"POLSKA";"domy wycieczkowe";"2020";20.1;"%";""
0000000;"POLSKA";"domy wycieczkowe";"2021";22.9;"%";""
0000000;"POLSKA";"domy wycieczkowe";"2022";30.0;"%";""
0000000;"POLSKA";"schroniska";"2002";18.40;"%";""
0000000;"POLSKA";"schroniska";"2003";18.60;"%";""
0000000;"POLSKA";"schroniska";"2004";18.88;"%";""
0000000;"POLSKA";"schroniska";"2005";19.74;"%";""
0000000;"POLSKA";"schroniska";"2006";19.59;"%";""
0000000;"POLSKA";"schroniska";"2007";20.74;"%";""
0000000;"POLSKA";"schroniska";"2008";19.70;"%";""
0000000;"POLSKA";"schroniska";"2009";20.52;"%";""
0000000;"POLSKA";"schroniska";"2010";18.97;"%";""
0000000;"POLSKA";"schroniska";"2011";20.8;"%";""
0000000;"POLSKA";"schroniska";"2012";20.8;"%";""
0000000;"POLSKA";"schroniska";"2013";21.1;"%";""
0000000;"POLSKA";"schroniska";"2014";22.0;"%";""
0000000;"POLSKA";"schroniska";"2015";24.6;"%";""
0000000;"POLSKA";"schroniska";"2016";25.6;"%";""
0000000;"POLSKA";"schroniska";"2017";28.5;"%";""
0000000;"POLSKA";"schroniska";"2018";28.0;"%";""
0000000;"POLSKA";"schroniska";"2019";29.4;"%";""
0000000;"POLSKA";"schroniska";"2020";23.4;"%";""
0000000;"POLSKA";"schroniska";"2021";24.4;"%";""
0000000;"POLSKA";"schroniska";"2022";32.5;"%";""
0000000;"POLSKA";"schroniska młodzieżowe";"2002";26.10;"%";""
0000000;"POLSKA";"schroniska młodzieżowe";"2003";26.20;"%";""
0000000;"POLSKA";"schroniska młodzieżowe";"2004";31.96;"%";""
0000000;"POLSKA";"schroniska młodzieżowe";"2005";32.57;"%";""
0000000;"POLSKA";"schroniska młodzieżowe";"2006";30.53;"%";""
0000000;"POLSKA";"schroniska młodzieżowe";"2007";30.77;"%";""
0000000;"POLSKA";"schroniska młodzieżowe";"2008";31.40;"%";""
0000000;"POLSKA";"schroniska młodzieżowe";"2009";31.81;"%";""
0000000;"POLSKA";"schroniska młodzieżowe";"2010";29.00;"%";""
0000000;"POLSKA";"schroniska młodzieżowe";"2011";28.0;"%";""
0000000;"POLSKA";"schroniska młodzieżowe";"2012";27.1;"%";""
0000000;"POLSKA";"schroniska młodzieżowe";"2013";26.1;"%";""
0000000;"POLSKA";"schroniska młodzieżowe";"2014";26.7;"%";""
0000000;"POLSKA";"schroniska młodzieżowe";"2015";28.6;"%";""
0000000;"POLSKA";"schroniska młodzieżowe";"2016";31.0;"%";""
0000000;"POLSKA";"schroniska młodzieżowe";"2017";32.1;"%";""
0000000;"POLSKA";"schroniska młodzieżowe";"2018";31.0;"%";""
0000000;"POLSKA";"schroniska młodzieżowe";"2019";31.0;"%";""
0000000;"POLSKA";"schroniska młodzieżowe";"2020";16.8;"%";""
0000000;"POLSKA";"schroniska młodzieżowe";"2021";16.3;"%";""
0000000;"POLSKA";"schroniska młodzieżowe";"2022";25.4;"%";""
0000000;"POLSKA";"szkolne schroniska młodzieżowe";"2002";;"%";""
0000000;"POLSKA";"szkolne schroniska młodzieżowe";"2003";;"%";""
0000000;"POLSKA";"szkolne schroniska młodzieżowe";"2004";24.74;"%";""
0000000;"POLSKA";"szkolne schroniska młodzieżowe";"2005";24.82;"%";""
0000000;"POLSKA";"szkolne schroniska młodzieżowe";"2006";25.71;"%";""
0000000;"POLSKA";"szkolne schroniska młodzieżowe";"2007";26.25;"%";""
0000000;"POLSKA";"szkolne schroniska młodzieżowe";"2008";25.79;"%";""
0000000;"POLSKA";"szkolne schroniska młodzieżowe";"2009";25.64;"%";""
0000000;"POLSKA";"szkolne schroniska młodzieżowe";"2010";24.13;"%";""
0000000;"POLSKA";"szkolne schroniska młodzieżowe";"2011";23.8;"%";""
0000000;"POLSKA";"szkolne schroniska młodzieżowe";"2012";22.6;"%";""
0000000;"POLSKA";"szkolne schroniska młodzieżowe";"2013";22.0;"%";""
0000000;"POLSKA";"szkolne schroniska młodzieżowe";"2014";21.3;"%";""
0000000;"POLSKA";"szkolne schroniska młodzieżowe";"2015";21.3;"%";""
0000000;"POLSKA";"szkolne schroniska młodzieżowe";"2016";21.6;"%";""
0000000;"POLSKA";"szkolne schroniska młodzieżowe";"2017";21.2;"%";""
0000000;"POLSKA";"szkolne schroniska młodzieżowe";"2018";21.0;"%";""
0000000;"POLSKA";"szkolne schroniska młodzieżowe";"2019";19.3;"%";""
0000000;"POLSKA";"szkolne schroniska młodzieżowe";"2020";12.0;"%";""
0000000;"POLSKA";"szkolne schroniska młodzieżowe";"2021";14.6;"%";""
0000000;"POLSKA";"szkolne schroniska młodzieżowe";"2022";19.2;"%";""
0000000;"POLSKA";"ośrodki wczasowe";"2002";38.20;"%";""
0000000;"POLSKA";"ośrodki wczasowe";"2003";39.50;"%";""
0000000;"POLSKA";"ośrodki wczasowe";"2004";37.77;"%";""
0000000;"POLSKA";"ośrodki wczasowe";"2005";38.46;"%";""
0000000;"POLSKA";"ośrodki wczasowe";"2006";39.42;"%";""
0000000;"POLSKA";"ośrodki wczasowe";"2007";39.98;"%";""
0000000;"POLSKA";"ośrodki wczasowe";"2008";40.50;"%";""
0000000;"POLSKA";"ośrodki wczasowe";"2009";38.49;"%";""
0000000;"POLSKA";"ośrodki wczasowe";"2010";37.02;"%";""
0000000;"POLSKA";"ośrodki wczasowe";"2011";35.9;"%";""
0000000;"POLSKA";"ośrodki wczasowe";"2012";36.1;"%";""
0000000;"POLSKA";"ośrodki wczasowe";"2013";34.9;"%";""
0000000;"POLSKA";"ośrodki wczasowe";"2014";36.1;"%";""
0000000;"POLSKA";"ośrodki wczasowe";"2015";37.6;"%";""
0000000;"POLSKA";"ośrodki wczasowe";"2016";39.2;"%";""
0000000;"POLSKA";"ośrodki wczasowe";"2017";40.1;"%";""
0000000;"POLSKA";"ośrodki wczasowe";"2018";40.9;"%";""
0000000;"POLSKA";"ośrodki wczasowe";"2019";41.1;"%";""
0000000;"POLSKA";"ośrodki wczasowe";"2020";31.9;"%";""
0000000;"POLSKA";"ośrodki wczasowe";"2021";38.9;"%";""
0000000;"POLSKA";"ośrodki wczasowe";"2022";40.6;"%";""
0000000;"POLSKA";"ośrodki kolonijne";"2002";42.40;"%";""
0000000;"POLSKA";"ośrodki kolonijne";"2003";47.60;"%";""
0000000;"POLSKA";"ośrodki kolonijne";"2004";47.56;"%";""
0000000;"POLSKA";"ośrodki kolonijne";"2005";46.46;"%";""
0000000;"POLSKA";"ośrodki kolonijne";"2006";48.55;"%";""
0000000;"POLSKA";"ośrodki kolonijne";"2007";49.00;"%";""
0000000;"POLSKA";"ośrodki kolonijne";"2008";47.21;"%";""
0000000;"POLSKA";"ośrodki kolonijne";"2009";50.01;"%";""
0000000;"POLSKA";"ośrodki kolonijne";"2010";45.02;"%";""
0000000;"POLSKA";"ośrodki kolonijne";"2011";41.2;"%";""
0000000;"POLSKA";"ośrodki kolonijne";"2012";38.5;"%";""
0000000;"POLSKA";"ośrodki kolonijne";"2013";36.8;"%";""
0000000;"POLSKA";"ośrodki kolonijne";"2014";38.4;"%";""
0000000;"POLSKA";"ośrodki kolonijne";"2015";41.3;"%";""
0000000;"POLSKA";"ośrodki kolonijne";"2016";45.8;"%";""
0000000;"POLSKA";"ośrodki kolonijne";"2017";47.9;"%";""
0000000;"POLSKA";"ośrodki kolonijne";"2018";51.4;"%";""
0000000;"POLSKA";"ośrodki kolonijne";"2019";49.3;"%";""
0000000;"POLSKA";"ośrodki kolonijne";"2020";32.5;"%";""
0000000;"POLSKA";"ośrodki kolonijne";"2021";53.5;"%";""
0000000;"POLSKA";"ośrodki kolonijne";"2022";46.6;"%";""
0000000;"POLSKA";"ośrodki szkoleniowo-wypoczynkowe";"2002";30.40;"%";""
0000000;"POLSKA";"ośrodki szkoleniowo-wypoczynkowe";"2003";31.20;"%";""
0000000;"POLSKA";"ośrodki szkoleniowo-wypoczynkowe";"2004";31.53;"%";""
0000000;"POLSKA";"ośrodki szkoleniowo-wypoczynkowe";"2005";29.25;"%";""
0000000;"POLSKA";"ośrodki szkoleniowo-wypoczynkowe";"2006";31.47;"%";""
0000000;"POLSKA";"ośrodki szkoleniowo-wypoczynkowe";"2007";32.18;"%";""
0000000;"POLSKA";"ośrodki szkoleniowo-wypoczynkowe";"2008";32.56;"%";""
0000000;"POLSKA";"ośrodki szkoleniowo-wypoczynkowe";"2009";30.65;"%";""
0000000;"POLSKA";"ośrodki szkoleniowo-wypoczynkowe";"2010";29.02;"%";""
0000000;"POLSKA";"ośrodki szkoleniowo-wypoczynkowe";"2011";29.8;"%";""
0000000;"POLSKA";"ośrodki szkoleniowo-wypoczynkowe";"2012";29.6;"%";""
0000000;"POLSKA";"ośrodki szkoleniowo-wypoczynkowe";"2013";28.4;"%";""
0000000;"POLSKA";"ośrodki szkoleniowo-wypoczynkowe";"2014";28.7;"%";""
0000000;"POLSKA";"ośrodki szkoleniowo-wypoczynkowe";"2015";29.4;"%";""
0000000;"POLSKA";"ośrodki szkoleniowo-wypoczynkowe";"2016";30.5;"%";""
0000000;"POLSKA";"ośrodki szkoleniowo-wypoczynkowe";"2017";30.7;"%";""
0000000;"POLSKA";"ośrodki szkoleniowo-wypoczynkowe";"2018";31.3;"%";""
0000000;"POLSKA";"ośrodki szkoleniowo-wypoczynkowe";"2019";32.5;"%";""
0000000;"POLSKA";"ośrodki szkoleniowo-wypoczynkowe";"2020";24.0;"%";""
0000000;"POLSKA";"ośrodki szkoleniowo-wypoczynkowe";"2021";29.9;"%";""
0000000;"POLSKA";"ośrodki szkoleniowo-wypoczynkowe";"2022";32.2;"%";""
0000000;"POLSKA";"domy pracy twórczej";"2002";34.70;"%";""
0000000;"POLSKA";"domy pracy twórczej";"2003";33.40;"%";""
0000000;"POLSKA";"domy pracy twórczej";"2004";31.96;"%";""
0000000;"POLSKA";"domy pracy twórczej";"2005";30.72;"%";""
0000000;"POLSKA";"domy pracy twórczej";"2006";29.77;"%";""
0000000;"POLSKA";"domy pracy twórczej";"2007";32.36;"%";""
0000000;"POLSKA";"domy pracy twórczej";"2008";31.23;"%";""
0000000;"POLSKA";"domy pracy twórczej";"2009";30.00;"%";""
0000000;"POLSKA";"domy pracy twórczej";"2010";29.85;"%";""
0000000;"POLSKA";"domy pracy twórczej";"2011";27.4;"%";""
0000000;"POLSKA";"domy pracy twórczej";"2012";26.1;"%";""
0000000;"POLSKA";"domy pracy twórczej";"2013";25.3;"%";""
0000000;"POLSKA";"domy pracy twórczej";"2014";24.4;"%";""
0000000;"POLSKA";"domy pracy twórczej";"2015";27.0;"%";""
0000000;"POLSKA";"domy pracy twórczej";"2016";25.9;"%";""
0000000;"POLSKA";"domy pracy twórczej";"2017";26.2;"%";""
0000000;"POLSKA";"domy pracy twórczej";"2018";28.3;"%";""
0000000;"POLSKA";"domy pracy twórczej";"2019";26.8;"%";""
0000000;"POLSKA";"domy pracy twórczej";"2020";17.3;"%";""
0000000;"POLSKA";"domy pracy twórczej";"2021";22.6;"%";""
0000000;"POLSKA";"domy pracy twórczej";"2022";25.8;"%";""
0000000;"POLSKA";"zespoły domków turystycznych";"2002";32.00;"%";""
0000000;"POLSKA";"zespoły domków turystycznych";"2003";33.50;"%";""
0000000;"POLSKA";"zespoły domków turystycznych";"2004";32.59;"%";""
0000000;"POLSKA";"zespoły domków turystycznych";"2005";31.96;"%";""
0000000;"POLSKA";"zespoły domków turystycznych";"2006";33.61;"%";""
0000000;"POLSKA";"zespoły domków turystycznych";"2007";34.46;"%";""
0000000;"POLSKA";"zespoły domków turystycznych";"2008";34.89;"%";""
0000000;"POLSKA";"zespoły domków turystycznych";"2009";35.06;"%";""
0000000;"POLSKA";"zespoły domków turystycznych";"2010";31.17;"%";""
0000000;"POLSKA";"zespoły domków turystycznych";"2011";28.8;"%";""
0000000;"POLSKA";"zespoły domków turystycznych";"2012";29.2;"%";""
0000000;"POLSKA";"zespoły domków turystycznych";"2013";26.9;"%";""
0000000;"POLSKA";"zespoły domków turystycznych";"2014";28.4;"%";""
0000000;"POLSKA";"zespoły domków turystycznych";"2015";30.6;"%";""
0000000;"POLSKA";"zespoły domków turystycznych";"2016";31.6;"%";""
0000000;"POLSKA";"zespoły domków turystycznych";"2017";30.9;"%";""
0000000;"POLSKA";"zespoły domków turystycznych";"2018";32.0;"%";""
0000000;"POLSKA";"zespoły domków turystycznych";"2019";30.3;"%";""
0000000;"POLSKA";"zespoły domków turystycznych";"2020";28.9;"%";""
0000000;"POLSKA";"zespoły domków turystycznych";"2021";32.6;"%";""
0000000;"POLSKA";"zespoły domków turystycznych";"2022";31.3;"%";""
0000000;"POLSKA";"kempingi";"2002";20.10;"%";""
0000000;"POLSKA";"kempingi";"2003";21.50;"%";""
0000000;"POLSKA";"kempingi";"2004";18.32;"%";""
0000000;"POLSKA";"kempingi";"2005";21.01;"%";""
0000000;"POLSKA";"kempingi";"2006";22.01;"%";""
0000000;"POLSKA";"kempingi";"2007";21.36;"%";""
0000000;"POLSKA";"kempingi";"2008";22.72;"%";""
0000000;"POLSKA";"kempingi";"2009";24.93;"%";""
0000000;"POLSKA";"kempingi";"2010";23.96;"%";""
0000000;"POLSKA";"kempingi";"2011";20.9;"%";""
0000000;"POLSKA";"kempingi";"2012";20.7;"%";""
0000000;"POLSKA";"kempingi";"2013";22.7;"%";""
0000000;"POLSKA";"kempingi";"2014";22.5;"%";""
0000000;"POLSKA";"kempingi";"2015";25.8;"%";""
0000000;"POLSKA";"kempingi";"2016";24.9;"%";""
0000000;"POLSKA";"kempingi";"2017";25.1;"%";""
0000000;"POLSKA";"kempingi";"2018";27.7;"%";""
0000000;"POLSKA";"kempingi";"2019";27.3;"%";""
0000000;"POLSKA";"kempingi";"2020";24.5;"%";""
0000000;"POLSKA";"kempingi";"2021";26.5;"%";""
0000000;"POLSKA";"kempingi";"2022";26.6;"%";""
0000000;"POLSKA";"pola biwakowe";"2002";15.90;"%";""
0000000;"POLSKA";"pola biwakowe";"2003";20.00;"%";""
0000000;"POLSKA";"pola biwakowe";"2004";14.67;"%";""
0000000;"POLSKA";"pola biwakowe";"2005";16.44;"%";""
0000000;"POLSKA";"pola biwakowe";"2006";17.69;"%";""
0000000;"POLSKA";"pola biwakowe";"2007";15.57;"%";""
0000000;"POLSKA";"pola biwakowe";"2008";16.38;"%";""
0000000;"POLSKA";"pola biwakowe";"2009";17.19;"%";""
0000000;"POLSKA";"pola biwakowe";"2010";12.82;"%";""
0000000;"POLSKA";"pola biwakowe";"2011";12.0;"%";""
0000000;"POLSKA";"pola biwakowe";"2012";12.7;"%";""
0000000;"POLSKA";"pola biwakowe";"2013";13.9;"%";""
0000000;"POLSKA";"pola biwakowe";"2014";13.5;"%";""
0000000;"POLSKA";"pola biwakowe";"2015";16.0;"%";""
0000000;"POLSKA";"pola biwakowe";"2016";16.9;"%";""
0000000;"POLSKA";"pola biwakowe";"2017";18.5;"%";""
0000000;"POLSKA";"pola biwakowe";"2018";17.3;"%";""
0000000;"POLSKA";"pola biwakowe";"2019";17.3;"%";""
0000000;"POLSKA";"pola biwakowe";"2020";17.1;"%";""
0000000;"POLSKA";"pola biwakowe";"2021";19.6;"%";""
0000000;"POLSKA";"pola biwakowe";"2022";24.1;"%";""
0000000;"POLSKA";"ośrodki do wypoczynku sobotnio-niedzielnego i świątecznego";"2002";27.00;"%";""
0000000;"POLSKA";"ośrodki do wypoczynku sobotnio-niedzielnego i świątecznego";"2003";31.10;"%";""
0000000;"POLSKA";"ośrodki do wypoczynku sobotnio-niedzielnego i świątecznego";"2004";30.48;"%";""
0000000;"POLSKA";"ośrodki do wypoczynku sobotnio-niedzielnego i świątecznego";"2005";34.41;"%";""
0000000;"POLSKA";"ośrodki do wypoczynku sobotnio-niedzielnego i świątecznego";"2006";24.64;"%";""
0000000;"POLSKA";"ośrodki do wypoczynku sobotnio-niedzielnego i świątecznego";"2007";25.38;"%";""
0000000;"POLSKA";"ośrodki do wypoczynku sobotnio-niedzielnego i świątecznego";"2008";23.93;"%";""
0000000;"POLSKA";"ośrodki do wypoczynku sobotnio-niedzielnego i świątecznego";"2009";;"%";""
0000000;"POLSKA";"ośrodki do wypoczynku sobotnio-niedzielnego i świątecznego";"2010";;"%";""
0000000;"POLSKA";"ośrodki do wypoczynku sobotnio-niedzielnego i świątecznego";"2011";;"%";""
0000000;"POLSKA";"ośrodki do wypoczynku sobotnio-niedzielnego i świątecznego";"2012";;"%";""
0000000;"POLSKA";"ośrodki do wypoczynku sobotnio-niedzielnego i świątecznego";"2013";;"%";""
0000000;"POLSKA";"ośrodki do wypoczynku sobotnio-niedzielnego i świątecznego";"2014";;"%";""
