"Kod";"Nazwa";"Rodzaje udogodnien";"Rok";"Wartosc";"Jednostka miary";"Atrybut"
0200000;"DOLNOŚLĄSKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2013";155;"ob.";""
0200000;"DOLNOŚLĄSKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2017";215;"ob.";""
0200000;"DOLNOŚLĄSKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2021";188;"ob.";""
0200000;"DOLNOŚLĄSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2009";;"ob.";""
0200000;"DOLNOŚLĄSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2013";220;"ob.";""
0200000;"DOLNOŚLĄSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2017";;"ob.";""
0200000;"DOLNOŚLĄSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2021";;"ob.";""
0200000;"DOLNOŚLĄSKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2009";;"ob.";""
0200000;"DOLNOŚLĄSKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2013";158;"ob.";""
0200000;"DOLNOŚLĄSKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2017";191;"ob.";""
0200000;"DOLNOŚLĄSKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2021";229;"ob.";""
0200000;"DOLNOŚLĄSKIE";"winda przystosowana dla osób niepełnosprawnych";"2009";89;"ob.";""
0200000;"DOLNOŚLĄSKIE";"winda przystosowana dla osób niepełnosprawnych";"2013";;"ob.";""
0200000;"DOLNOŚLĄSKIE";"winda przystosowana dla osób niepełnosprawnych";"2017";;"ob.";""
0200000;"DOLNOŚLĄSKIE";"winda przystosowana dla osób niepełnosprawnych";"2021";;"ob.";""
0200000;"DOLNOŚLĄSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2009";149;"ob.";""
0200000;"DOLNOŚLĄSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2013";;"ob.";""
0200000;"DOLNOŚLĄSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2017";;"ob.";""
0200000;"DOLNOŚLĄSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2021";;"ob.";""
0400000;"KUJAWSKO-POMORSKIE";"pochylnia wjazdowa";"2009";107;"ob.";""
0400000;"KUJAWSKO-POMORSKIE";"pochylnia wjazdowa";"2013";102;"ob.";""
0400000;"KUJAWSKO-POMORSKIE";"pochylnia wjazdowa";"2017";114;"ob.";""
0400000;"KUJAWSKO-POMORSKIE";"pochylnia wjazdowa";"2021";96;"ob.";""
0400000;"KUJAWSKO-POMORSKIE";"drzwi automatycznie otwierane";"2009";40;"ob.";""
0400000;"KUJAWSKO-POMORSKIE";"drzwi automatycznie otwierane";"2013";59;"ob.";""
0400000;"KUJAWSKO-POMORSKIE";"drzwi automatycznie otwierane";"2017";70;"ob.";""
0400000;"KUJAWSKO-POMORSKIE";"drzwi automatycznie otwierane";"2021";71;"ob.";""
0400000;"KUJAWSKO-POMORSKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2009";;"ob.";""
0400000;"KUJAWSKO-POMORSKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2013";57;"ob.";""
0400000;"KUJAWSKO-POMORSKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2017";87;"ob.";""
0400000;"KUJAWSKO-POMORSKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2021";80;"ob.";""
0400000;"KUJAWSKO-POMORSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2009";;"ob.";""
0400000;"KUJAWSKO-POMORSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2013";116;"ob.";""
0400000;"KUJAWSKO-POMORSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2017";;"ob.";""
0400000;"KUJAWSKO-POMORSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2021";;"ob.";""
0400000;"KUJAWSKO-POMORSKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2009";;"ob.";""
0400000;"KUJAWSKO-POMORSKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2013";79;"ob.";""
0400000;"KUJAWSKO-POMORSKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2017";80;"ob.";""
0400000;"KUJAWSKO-POMORSKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2021";90;"ob.";""
0400000;"KUJAWSKO-POMORSKIE";"winda przystosowana dla osób niepełnosprawnych";"2009";45;"ob.";""
0400000;"KUJAWSKO-POMORSKIE";"winda przystosowana dla osób niepełnosprawnych";"2013";;"ob.";""
0400000;"KUJAWSKO-POMORSKIE";"winda przystosowana dla osób niepełnosprawnych";"2017";;"ob.";""
0400000;"KUJAWSKO-POMORSKIE";"winda przystosowana dla osób niepełnosprawnych";"2021";;"ob.";""
0400000;"KUJAWSKO-POMORSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2009";87;"ob.";""
0400000;"KUJAWSKO-POMORSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2013";;"ob.";""
0400000;"KUJAWSKO-POMORSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2017";;"ob.";""
0400000;"KUJAWSKO-POMORSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2021";;"ob.";""
0600000;"LUBELSKIE";"pochylnia wjazdowa";"2009";62;"ob.";""
0600000;"LUBELSKIE";"pochylnia wjazdowa";"2013";94;"ob.";""
0600000;"LUBELSKIE";"pochylnia wjazdowa";"2017";126;"ob.";""
0600000;"LUBELSKIE";"pochylnia wjazdowa";"2021";119;"ob.";""
0600000;"LUBELSKIE";"drzwi automatycznie otwierane";"2009";13;"ob.";""
0600000;"LUBELSKIE";"drzwi automatycznie otwierane";"2013";30;"ob.";""
0600000;"LUBELSKIE";"drzwi automatycznie otwierane";"2017";34;"ob.";""
0600000;"LUBELSKIE";"drzwi automatycznie otwierane";"2021";39;"ob.";""
0600000;"LUBELSKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2009";;"ob.";""
0600000;"LUBELSKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2013";43;"ob.";""
0600000;"LUBELSKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2017";69;"ob.";""
0600000;"LUBELSKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2021";86;"ob.";""
0600000;"LUBELSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2009";;"ob.";""
0600000;"LUBELSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2013";92;"ob.";""
0600000;"LUBELSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2017";;"ob.";""
0600000;"LUBELSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2021";;"ob.";""
0600000;"LUBELSKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2009";;"ob.";""
0600000;"LUBELSKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2013";76;"ob.";""
0600000;"LUBELSKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2017";92;"ob.";""
0600000;"LUBELSKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2021";122;"ob.";""
0600000;"LUBELSKIE";"winda przystosowana dla osób niepełnosprawnych";"2009";20;"ob.";""
0600000;"LUBELSKIE";"winda przystosowana dla osób niepełnosprawnych";"2013";;"ob.";""
0600000;"LUBELSKIE";"winda przystosowana dla osób niepełnosprawnych";"2017";;"ob.";""
0600000;"LUBELSKIE";"winda przystosowana dla osób niepełnosprawnych";"2021";;"ob.";""
0600000;"LUBELSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2009";59;"ob.";""
0600000;"LUBELSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2013";;"ob.";""
0600000;"LUBELSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2017";;"ob.";""
0600000;"LUBELSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2021";;"ob.";""
0800000;"LUBUSKIE";"pochylnia wjazdowa";"2009";90;"ob.";""
0800000;"LUBUSKIE";"pochylnia wjazdowa";"2013";76;"ob.";""
0800000;"LUBUSKIE";"pochylnia wjazdowa";"2017";78;"ob.";""
0800000;"LUBUSKIE";"pochylnia wjazdowa";"2021";44;"ob.";""
0800000;"LUBUSKIE";"drzwi automatycznie otwierane";"2009";17;"ob.";""
0800000;"LUBUSKIE";"drzwi automatycznie otwierane";"2013";21;"ob.";""
0800000;"LUBUSKIE";"drzwi automatycznie otwierane";"2017";25;"ob.";""
0800000;"LUBUSKIE";"drzwi automatycznie otwierane";"2021";21;"ob.";""
0800000;"LUBUSKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2009";;"ob.";""
0800000;"LUBUSKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2013";24;"ob.";""
0800000;"LUBUSKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2017";26;"ob.";""
0800000;"LUBUSKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2021";27;"ob.";""
0800000;"LUBUSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2009";;"ob.";""
0800000;"LUBUSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2013";80;"ob.";""
0800000;"LUBUSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2017";;"ob.";""
0800000;"LUBUSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2021";;"ob.";""
0800000;"LUBUSKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2009";;"ob.";""
0800000;"LUBUSKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2013";55;"ob.";""
0800000;"LUBUSKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2017";63;"ob.";""
0800000;"LUBUSKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2021";37;"ob.";""
0800000;"LUBUSKIE";"winda przystosowana dla osób niepełnosprawnych";"2009";21;"ob.";""
0800000;"LUBUSKIE";"winda przystosowana dla osób niepełnosprawnych";"2013";;"ob.";""
0800000;"LUBUSKIE";"winda przystosowana dla osób niepełnosprawnych";"2017";;"ob.";""
0800000;"LUBUSKIE";"winda przystosowana dla osób niepełnosprawnych";"2021";;"ob.";""
0800000;"LUBUSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2009";66;"ob.";""
0800000;"LUBUSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2013";;"ob.";""
0800000;"LUBUSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2017";;"ob.";""
0800000;"LUBUSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2021";;"ob.";""
1000000;"ŁÓDZKIE";"pochylnia wjazdowa";"2009";79;"ob.";""
1000000;"ŁÓDZKIE";"pochylnia wjazdowa";"2013";111;"ob.";""
1000000;"ŁÓDZKIE";"pochylnia wjazdowa";"2017";99;"ob.";""
1000000;"ŁÓDZKIE";"pochylnia wjazdowa";"2021";77;"ob.";""
1000000;"ŁÓDZKIE";"drzwi automatycznie otwierane";"2009";28;"ob.";""
1000000;"ŁÓDZKIE";"drzwi automatycznie otwierane";"2013";52;"ob.";""
1000000;"ŁÓDZKIE";"drzwi automatycznie otwierane";"2017";43;"ob.";""
1000000;"ŁÓDZKIE";"drzwi automatycznie otwierane";"2021";42;"ob.";""
1000000;"ŁÓDZKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2009";;"ob.";""
1000000;"ŁÓDZKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2013";63;"ob.";""
1000000;"ŁÓDZKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2017";62;"ob.";""
1000000;"ŁÓDZKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2021";59;"ob.";""
1000000;"ŁÓDZKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2009";;"ob.";""
1000000;"ŁÓDZKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2013";130;"ob.";""
1000000;"ŁÓDZKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2017";;"ob.";""
1000000;"ŁÓDZKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2021";;"ob.";""
1000000;"ŁÓDZKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2009";;"ob.";""
1000000;"ŁÓDZKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2013";94;"ob.";""
1000000;"ŁÓDZKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2017";94;"ob.";""
1000000;"ŁÓDZKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2021";89;"ob.";""
1000000;"ŁÓDZKIE";"winda przystosowana dla osób niepełnosprawnych";"2009";37;"ob.";""
1000000;"ŁÓDZKIE";"winda przystosowana dla osób niepełnosprawnych";"2013";;"ob.";""
1000000;"ŁÓDZKIE";"winda przystosowana dla osób niepełnosprawnych";"2017";;"ob.";""
1000000;"ŁÓDZKIE";"winda przystosowana dla osób niepełnosprawnych";"2021";;"ob.";""
1000000;"ŁÓDZKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2009";79;"ob.";""
1000000;"ŁÓDZKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2013";;"ob.";""
1000000;"ŁÓDZKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2017";;"ob.";""
1000000;"ŁÓDZKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2021";;"ob.";""
1200000;"MAŁOPOLSKIE";"pochylnia wjazdowa";"2009";213;"ob.";""
1200000;"MAŁOPOLSKIE";"pochylnia wjazdowa";"2013";267;"ob.";""
1200000;"MAŁOPOLSKIE";"pochylnia wjazdowa";"2017";324;"ob.";""
1200000;"MAŁOPOLSKIE";"pochylnia wjazdowa";"2021";298;"ob.";""
1200000;"MAŁOPOLSKIE";"drzwi automatycznie otwierane";"2009";102;"ob.";""
1200000;"MAŁOPOLSKIE";"drzwi automatycznie otwierane";"2013";130;"ob.";""
1200000;"MAŁOPOLSKIE";"drzwi automatycznie otwierane";"2017";169;"ob.";""
1200000;"MAŁOPOLSKIE";"drzwi automatycznie otwierane";"2021";201;"ob.";""
1200000;"MAŁOPOLSKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2009";;"ob.";""
1200000;"MAŁOPOLSKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2013";215;"ob.";""
1200000;"MAŁOPOLSKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2017";287;"ob.";""
1200000;"MAŁOPOLSKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2021";300;"ob.";""
1200000;"MAŁOPOLSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2009";;"ob.";""
1200000;"MAŁOPOLSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2013";345;"ob.";""
1200000;"MAŁOPOLSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2017";;"ob.";""
1200000;"MAŁOPOLSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2021";;"ob.";""
1200000;"MAŁOPOLSKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2009";;"ob.";""
1200000;"MAŁOPOLSKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2013";255;"ob.";""
1200000;"MAŁOPOLSKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2017";321;"ob.";""
1200000;"MAŁOPOLSKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2021";315;"ob.";""
1200000;"MAŁOPOLSKIE";"winda przystosowana dla osób niepełnosprawnych";"2009";160;"ob.";""
1200000;"MAŁOPOLSKIE";"winda przystosowana dla osób niepełnosprawnych";"2013";;"ob.";""
1200000;"MAŁOPOLSKIE";"winda przystosowana dla osób niepełnosprawnych";"2017";;"ob.";""
1200000;"MAŁOPOLSKIE";"winda przystosowana dla osób niepełnosprawnych";"2021";;"ob.";""
1200000;"MAŁOPOLSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2009";253;"ob.";""
1200000;"MAŁOPOLSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2013";;"ob.";""
1200000;"MAŁOPOLSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2017";;"ob.";""
1200000;"MAŁOPOLSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2021";;"ob.";""
1400000;"MAZOWIECKIE";"pochylnia wjazdowa";"2009";142;"ob.";""
1400000;"MAZOWIECKIE";"pochylnia wjazdowa";"2013";170;"ob.";""
1400000;"MAZOWIECKIE";"pochylnia wjazdowa";"2017";200;"ob.";""
1400000;"MAZOWIECKIE";"pochylnia wjazdowa";"2021";175;"ob.";""
1400000;"MAZOWIECKIE";"drzwi automatycznie otwierane";"2009";55;"ob.";""
1400000;"MAZOWIECKIE";"drzwi automatycznie otwierane";"2013";84;"ob.";""
1400000;"MAZOWIECKIE";"drzwi automatycznie otwierane";"2017";99;"ob.";""
1400000;"MAZOWIECKIE";"drzwi automatycznie otwierane";"2021";105;"ob.";""
1400000;"MAZOWIECKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2009";;"ob.";""
1400000;"MAZOWIECKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2013";121;"ob.";""
1400000;"MAZOWIECKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2017";152;"ob.";""
1400000;"MAZOWIECKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2021";176;"ob.";""
1400000;"MAZOWIECKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2009";;"ob.";""
1400000;"MAZOWIECKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2013";208;"ob.";""
1400000;"MAZOWIECKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2017";;"ob.";""
1400000;"MAZOWIECKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2021";;"ob.";""
1400000;"MAZOWIECKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2009";;"ob.";""
1400000;"MAZOWIECKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2013";159;"ob.";""
1400000;"MAZOWIECKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2017";179;"ob.";""
1400000;"MAZOWIECKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2021";200;"ob.";""
1400000;"MAZOWIECKIE";"winda przystosowana dla osób niepełnosprawnych";"2009";88;"ob.";""
1400000;"MAZOWIECKIE";"winda przystosowana dla osób niepełnosprawnych";"2013";;"ob.";""
1400000;"MAZOWIECKIE";"winda przystosowana dla osób niepełnosprawnych";"2017";;"ob.";""
1400000;"MAZOWIECKIE";"winda przystosowana dla osób niepełnosprawnych";"2021";;"ob.";""
1400000;"MAZOWIECKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2009";145;"ob.";""
1400000;"MAZOWIECKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2013";;"ob.";""
1400000;"MAZOWIECKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2017";;"ob.";""
1400000;"MAZOWIECKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2021";;"ob.";""
1600000;"OPOLSKIE";"pochylnia wjazdowa";"2009";29;"ob.";""
1600000;"OPOLSKIE";"pochylnia wjazdowa";"2013";43;"ob.";""
1600000;"OPOLSKIE";"pochylnia wjazdowa";"2017";48;"ob.";""
1600000;"OPOLSKIE";"pochylnia wjazdowa";"2021";35;"ob.";""
1600000;"OPOLSKIE";"drzwi automatycznie otwierane";"2009";6;"ob.";""
1600000;"OPOLSKIE";"drzwi automatycznie otwierane";"2013";9;"ob.";""
1600000;"OPOLSKIE";"drzwi automatycznie otwierane";"2017";17;"ob.";""
1600000;"OPOLSKIE";"drzwi automatycznie otwierane";"2021";12;"ob.";""
1600000;"OPOLSKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2009";;"ob.";""
1600000;"OPOLSKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2013";16;"ob.";""
1600000;"OPOLSKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2017";28;"ob.";""
1600000;"OPOLSKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2021";24;"ob.";""
1600000;"OPOLSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2009";;"ob.";""
1600000;"OPOLSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2013";38;"ob.";""
1600000;"OPOLSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2017";;"ob.";""
1600000;"OPOLSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2021";;"ob.";""
1600000;"OPOLSKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2009";;"ob.";""
1600000;"OPOLSKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2013";35;"ob.";""
1600000;"OPOLSKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2017";44;"ob.";""
1600000;"OPOLSKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2021";44;"ob.";""
1600000;"OPOLSKIE";"winda przystosowana dla osób niepełnosprawnych";"2009";7;"ob.";""
1600000;"OPOLSKIE";"winda przystosowana dla osób niepełnosprawnych";"2013";;"ob.";""
